board_state,action
1112222423551189,0
1112122433551189,2
122013410460289,1
1222023401460089,0
22013403461189,1
1122033401460189,0
122013403461289,2
13113403461289,1
2113033422460089,1
3113033402461089,0
1013013433461289,2
1023013404461289,2
123013401561289,0
23013412561289,0
2023003401562389,1
3123033400560189,1
3123033401561089,0
23113433561189,1
1123333411560189,2
223034412560189,0
223034412561189,0
223134402562189,0
223134412562189,3
3301135012562189,3
4100135112562189,0
1100430122662189,2
102043100372189,2
12043110372189,0
102001114472189,0
102011114472189,0
2121114472189,2
2012211572189,2
12001302572189,0
2012302572189,1
2122125301870009,0
12012322571189,1
2112122311570089,2
222013312570089,1
1222013302570189,0
1222013302571189,0
1222013302572189,1
1222213302571189,2
123021402571289,0
123011402571389,2
123102402571389,0
3013412572389,3
3100134012572389,2
31213412572389,0
1001214412572389,3
2001215012572389,2
2021021512572389,3
1010000000000,2
1000100000001,3
1010100000001000,0
10002110,1
1110200000010000,1
1111200010000000,0
10100020001111,0
100120001121,1
1122201010000000,0
120020201112,1
1222211010000200,1
1222211012020000,1
1223211012000010,1
1223212012001000,2
133021200120011,1
133022300111000,2
14003300021001,1
1014103300020001,1
2014003300020021,1
2114003300220001,0
14001300322121,0
4002301322121,1
2224003300221001,1
2224103300221001,1
2224203300220011,1
3224003310220011,1
3224103302220011,2
334011400230002,3
4400240023002100,1
4500331021000000,3
4500410021000100,2
45004120210001,3
4501410031001000,3
4510410031001001,3
4510410031012000,3
4510410032002010,3
4510411032002100,1
5520310022010100,1
5521310022100100,1
5521311022020100,1
5521311222000120,1
5521311222201100,0
5500312122111122,1
5522311222201101,1
5523311122201110,3
6230321132002100,1
6331421021000001,3
6410421021001200,0
6401420021001220,1
6421420021011200,0
6400421021001222,1
6412422021001201,1
6412422121101200,3
6412431022021200,3
6412431032101200,2
6412143103210012,3
6412143132101201,2
6412143103211121,2
6412143113210221,2
6412143113210131,3
6412143113211311,2
6412143113211132,1
6512233211220130,3
6512242023101300,1
6512342114100000,1
6512352111100000,1
6612312110100010,3
7120312120001020,1
7231302021001000,3
7231320121001000,3
7231321021001001,3
7231321121002000,3
7231322021002001,3
7231330021002101,3
7231400021012200,1
7232410032010000,1
7232410132001000,3
7232421032001000,1
7332421031001000,3
7420421031001100,3
7420421131002000,1
7421421031002100,1
7421421032002020,1
7421431031202000,0
7001442033102121,1
7422431031212000,1
7422431131212000,0
7001442033122122,0
7100442033112123,1
7121441333202101,3
7121513042002201,3
7121513042103100,0
7000522042313111,0
7001502043303112,3
7100520044013220,0
7100521044003221,1
7111522044003201,1
7112522044003220,1
7112523044103200,0
7110521044303212,0
7101522044303212,1
7121523244113200,0
7110522144323211,1
7111522244313211,1
7111522244323211,0
7111522144333211,3
7210531054003221,3
7210531054103310,3
7210531054114100,1
7221631044000110,3
7310631050002001,3
7310631050102100,3
7310631151002100,1
7421620050012000,3
7421620051002100,1
7421621052002000,1
7421631051002000,0
7000641053202111,1
7411632051102001,1
7412632051102100,3
7412632052102100,0
7410631052202112,3
7410631053102220,0
7000641054212220,0
7000600155102231,0
7000600055112232,3
7000601062003320,1
7210732030100000,3
7210732031010000,3
7210732132000000,1
8211332002000001,1
8212332002010000,1
8212332112000000,3
8212421012010000,3
8212421012100001,3
8212421012101010,3
8212421012102001,3
8212421012102101,1
8322421111102000,1
8322422111012000,1
8332420211002001,1
8333420111002010,1
8333421111102000,1
8333422111012000,1
8333422211002010,1
8333422211112000,3
8430432022002020,3
8430432031003000,1
8430432041000002,1
8432532011000000,3
8432532020000010,3
8432532020001100,1
8432532021001001,1
8432532121001001,3
8432532121002100,2
8432532100211021,3
8432532121101210,2
8432532110220121,3
8432532113001212,2
8432532101131212,1
8432532111231202,3
8432532122301301,1
8432532222301310,1
8433532222301310,3
8440533033001311,1
8441543033101100,1
8541533031101001,1
8542533131101000,3
8542541132001000,2
8542054200321001,1
8653103210010000,1
8653203200010001,3
8653232010101000,2
8653023210020001,2
8653023202120001,3
8653232021201010,3
8653232021202010,2
8653023202120121,3
8653232021201211,2
8653023212120122,2
8653023212121013,2
8653123212120023,1
8653233301130020,1
8654233301100021,2
8654023401020021,1
8655023201210010,3
8660232112101000,3
8710232112101000,1
8711232122100000,1
8712332002101000,1
8712332012100010,1
8712332012210000,1
8712333112010000,3
8712431012100010,3
8712431012101010,3
8712431112102000,1
8722431112002200,1
8722431113002100,3
8730432013012100,3
8731432013102100,1
8731442011102010,1
8731442011202001,3
8731520022002101,3
8731520030002210,1
8731531030012000,3
8731531031202000,2
8731053113120002,3
8731531113122000,3
8731532113122000,2
8731532113121002,2
8731532113120112,2
8731532113121022,2
8731532113120113,1
8732542211231000,3
8732543222301000,3
8732543233001100,3
8732543240002100,2
8732543200041021,3
8732543240011210,3
8732543241001211,1
8743541141001201,1
8743541241001210,1
8743542241001210,1
8743542241101210,1
8743542241201201,1
8743543241111200,3
8743543242101210,1
8743543243211000,2
8743543243210101,2
8743543243210102,2
8743543243211012,2
8743543243210122,3
8743543243211301,2
8743543243212131,1
8743543243222131,1
8743543343212131,1
8744543243202131,3
8750543243212131,0
8750543143222132,3
8750543143312132,1
8752544243312100,1
8753544143312100,3
8753551044112100,0
8701550044532121,3
8710600255302121,0
8100671055322121,1
8112673155202101,3
8220673162002201,3
8301673162003100,3
8310673162103100,1
8311773032100110,1
8311773032200101,1
8312773032201100,0
8300771132301122,1
8311773232201110,0
